title,price,location,details
À Vendre Penthouse vue Lac aux Jardins de Carthage,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 390m² | 5 Pièces | 4 Chambres"
À VENDRE –Appartement S2 – Amilcar 2. B,,,"785 000 TND | Gammarth Supérieur, La Marsa | 124m² | 3 Pièces | Terrasse"
Appartement A21 – Résidence MAYA à Kairouan,,,234 741 TND | Kairouan Ville | 99m² | 3 Pièces | 2 Chambres
Très grand S2 de 121m² au 1ier étage,,,"500 000 TND | La Soukra Ville, La Soukra | 121m² | 3 Pièces | 2 Chambres"
Vente d'un bel appartement à Les Jardins d'El Menzah 1,,,"Prix à consulter | Les Jardins d'El Menzah 1, Ariana | 106m² | 3 Pièces | 2 Chambres"
Duplex De prestige S3 à vendre aux Jardins de Carthage D0 1,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 289m² | 4 Pièces | 3 Chambres"
S3 direct promoteur a kantaoui avec une vue mer,,,"621 626 TND | El Kantaoui, Hammam Sousse | 149m² | 4 Pièces | 3 Chambres"
S3 vue mer en vente,,,"1 500 000 TND | El Kantaoui, Hammam Sousse | 220m² | 4 Pièces | 3 Chambres"
S4 sur plan en vente a kantaoui,,,"Prix à consulter | El Kantaoui, Hammam Sousse | 285m² | 5 Pièces | 4 Chambres"
S3 pied dans l'eau en vente a El kantaoui,,,"Prix à consulter | El Kantaoui, Hammam Sousse | 180m² | 4 Pièces | 3 Chambres"
S2 en vente dans une résidence avec piscine,,,"590 000 TND | El Kantaoui, Hammam Sousse | 146m² | 1 Pièce | 2 Chambres"
A VENDRE appartement S2 haut standing à Bellevu,,,"280 000 TND | El Ouardia, Tunis | 110m² | 2 Pièces | 2 Chambres"
A VENDRE: appartement S3 à EL WAHAT / L'AOUINA,,,"325 000 TND | Ain Zaghouan Nord, La Marsa | 101m² | 3 Pièces | 4 Chambres"
Appartement S2 neuf avec ascenseur a kélibia,,,280 000 TND | Kélibia | 120m² | 3 Pièces | 3 Chambres
Appartement S1 à vendre à Cité El Bosten,,,155 000 TND | Kélibia | 70m² | 2 Pièces | 1 Ch.
A vendre un appartement en S2 de120m²,,,"340 000 TND | Cité Ennasr 1, Ariana | 160m² | 3 Pièces | 2 Chambres"
S2 de 99m² avec une terrasse à Hammamet Nord,,,"400 000 TND | Hammamet Nord, Hammamet | 99m² | 3 Pièces | 2 Chambres"
À vendre un appartement s1 à la Soukra Parc,,,"230 000 TND | La Soukra Ville, La Soukra | 65m² | 2 Pièces | 1 Ch."
"À Vendre – Appartement S2 à El Fatha, Kélibia",,,"330 000 TND | Kélibia, Kélibia | 101m² | 3 Pièces | 2 Chambres"
À vendre – Appartement S1 avec vue piscine,,,"225 000 TND | Kélibia, Kélibia | 69m² | 2 Pièces | 1 Ch."
Appartement récemment rénové à vendre à Denden. Surface : 70...,,,"205 000 TND | Denden, La Manouba | 70m² | 2 Chambres | 1 Salle de bain"
À VENDRE Appartement S3 Vue Route touristique SOUSSE,,,"1 050 000 TND | Corniche, Sousse | 177m² | 4 Pièces | 3 Chambres"
Villa de Style Américain Haut Standing à Sahloul 4,,,"1 060 000 TND | Sousse Jaouhara, Sousse Jaouhara | 460m² | 5 Pièces | 5 Chambres"
Vente appartement avec une vue sur mer,,,"420 000 TND | El Kantaoui, Hammam Sousse | 80m² | 1 Pièce | 1 Ch."
A vendre Appartement S2 Haut Standing a Sahloul 4,,,"406 000 TND | Sousse Jaouhara, Sousse Jaouhara | 128m² | 3 Pièces | 2 Chambres"
Appartement à vendre. S3 avec Terrasse 22 m²,,,"Prix à consulter | Sahloul, Sousse | 156m² | 4 Pièces | 3 Chambres"
"Duplex de luxe s4,5 de 315m² aux Jardins de Carthage D0 7",,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 315m² | 5 Pièces | 4 Chambres"
Fabuleux S3 de 125m² à vendre,,,"403 168 TND | Bhar Lazreg, La Marsa | 125m² | 4 Pièces | 3 Chambres"
A VENDRE Appartement s3 à Rades,,,"165 000 TND | Village Mediterranee, Rades | 100m² | 4 Pièces | 3 Chambres"
A VENDRE Duplex S3 à Rades,,,"570 000 TND | Rades Meliane, Rades | 280m² | 4 Pièces | 3 Chambres"
A vendre un apparteme S2 avec jardin à Afh Mrezga,,,"Prix à consulter | Cité El Wafa, Nabeul | 90m² | 5 Pièces | 2 Chambres"
À vendre Appartement S2,,,"380 000 TND | La Soukra Ville, La Soukra | 130m² | 3 Pièces | 2 Chambres"
Résidence: BABYLONE - Sfax,Prix à consulter,,"Prix à consulter | IMMOBILIER NEUF | Route Lafrane, Sfax | Haut standing | En cours de construction"
Des appartements haut standing à vendre,Prix à consulter,,"Prix à consulter | La Marsa Ville, La Marsa | 105m² | 3 Pièces | 2 Chambres"
Appartement A14 – Résidence MAYA à Kairouan,,,253 236 TND | Kairouan Ville | 107m² | 3 Pièces | 2 Chambres
S2 122 m2 prix promotionnel jusqu'au  ***-******,,,"500 000 TND | La Soukra Ville, La Soukra | 122m² | 3 Pièces | 2 Chambres"
Appartement à l'achat à Les Jardins d'El Menzah 1.2 chambres...,,,"Prix à consulter | Les Jardins d'El Menzah 1, Ariana | 102m² | 2 Chambres | 1 Salle de bain"
Vente d'un bel appartement à Borj Louzir,191 000 TND,,"191 000 TND | Borj Louzir, La Soukra | 88m² | 3 Pièces | 2 Chambres"
A vendre S2 de 86m² avec place de parking,,,"355 000 TND | Bhar Lazreg, La Marsa | 86m² | 3 Pièces | 2 Chambres"
Vente appartement retapé a neuf a menzah 1,,,"195 000 TND | El Menzah 1, Tunis | 70m² | 2 Pièces | 2 Chambres"
Appartement s2 a la Marsa en cours de construction,630 000 TND,,630 000 TND | La Marsa | 128m² | 2 Chambres | Terrasse
Nouveau projet à la Soukra,,,"365 000 TND | La Soukra Ville, La Soukra | 86m² | 3 Pièces | 2 Chambres"
S3 en vente,714 000 TND,,"714 000 TND | Riadh al Andalous, Ariana | 168m² | Jardin | Garage"
S4 en vente,330 000 TND,,330 000 TND | Carthage | 111m² | 5 Pièces | 4 Chambres
S2 en vente,,,"595 000 TND | Les Jardins de Carthage, La Marsa | 133m² | 3 Pièces | 2 Chambres"
S2 en vente,,,"510 000 TND | Les Jardins de Carthage, La Marsa | 133m² | Terrasse | Garage"
Appartement S1,,,108 000 TND | Kélibia | 40m² | 2 Pièces | 1 Ch.
S3 en vente dans une résidence avec piscine,,,"787 000 TND | El Kantaoui, Hammam Sousse | 183m² | 1 Pièce | 3 Chambres"
Appartement s1 à vendre sur plan,389 223 TND,,389 223 TND | Le Kram | 66m² | 1 Pièce | 1 Ch.
Appartement S3 à Khzema Sousse,,,"650 000 TND | Sousse Jaouhara, Sousse Jaouhara | 186m² | 3 Pièces | 3 Chambres"
A Vendre S3 aux Jardins de Carthage,Prix à consulter,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 138m² | 4 Pièces | 3 Chambres"
Appartement s2 à vendre aux jardins de Carthage,,,"620 000 TND | Les Jardins de Carthage, La Marsa | 150m² | 2 Pièces | 2 Chambres"
A vendre ou a louer bel appartement marsa cube ave,,,"2 000 000 TND | La Marsa Ville, La Marsa | 130m² | 4 Pièces | 3 Chambres"
A vendre appartement S1 à La Nouvelle Soukra,186 000 TND,,"186 000 TND | La Soukra Ville, La Soukra | 2 Pièces | 1 Ch. | 2 Salles de bains"
Un appartement bien aménagé,,,"700 000 TND | Gammarth Village, La Marsa | 200m² | 5 Pièces | 4 Chambres"
Bel appartement à vendre à Les Jardins de Carthage,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 70m² | 2 Pièces | 1 Ch."
Vente appartement s2 de standing la marsa,,,"400 000 TND | La Marsa Ville, La Marsa | 128m² | 3 Pièces | 2 Chambres"
Appartement B4 2 – S2 – 4ème étage – Bloc B,,,"355 000 TND | Ariana Essoghra, Raoued | 104m² | 3 Pièces | 2 Chambres"
Penthouse d'Exception aux Jardins de Carthage. Dernier étage...,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 312m² | 5 Pièces | 4 Chambres"
A vendre S2 de 104m² ç La Mars Bhar Lazrek,,,"368 864 TND | Bhar Lazreg, La Marsa | 104m² | 3 Pièces | 2 Chambres"
S2 haut standing à Monastir,,,"385 000 TND | Cité El Agba, Monastir | 83m² | 2 Pièces | 2 Chambres"
À Vendre un S2 à la Marsa,,,"415 000 TND | La Marsa Ville, La Marsa | 123m² | 3 Pièces | 2 Chambres"
"À VENDRE – S1à Sidi Daoud, La Marsa",,,"350 000 TND | Sidi Daoued, La Marsa | 68m² | 2 Pièces | 1 Ch."
À VENDRE – Superbe S3 avec jardin privatif,,,"580 000 TND | Gammarth Village, La Marsa | 190m² | 4 Pièces | 3 Chambres"
A vendre s3 a cite taieb mhiri aouina,,,"245 000 TND | El Aouina, Tunis | 102m² | 3 Pièces | 3 Chambres"
Résidence: BABYLONE - Sfax,Prix à consulter,,"Prix à consulter | IMMOBILIER NEUF | Route Lafrane, Sfax | Haut standing | En cours de construction"
Des appartements à vendre chez promoteur,,,"386 000 TND | Ain Zaghouan Nord, La Marsa | 117m² | 3 Pièces | 2 Chambres"
Magnifique S2 avec 2 suites,,,"Prix à consulter | La Soukra Ville, La Soukra | 150m² | 3 Pièces | 2 Chambres"
Appartement à l'achat à Les Jardins d'El Menzah 1. Superfici...,,,"Prix à consulter | Les Jardins d'El Menzah 1, Ariana | 150m² | 3 Chambres | 1 Salle de bain"
Bel appartement à vendre à Borj Louzir. Superficie 88 m²,,,"191 000 TND | Borj Louzir, La Soukra | 88m² | 3 Pièces | 2 Chambres"
Opportunité d'un Sé de 114m² avec Parking,,,"460 000 TND | Bhar Lazreg, La Marsa | 114m² | 3 Pièces | 2 Chambres"
Bel appartement à vendre. Surface de 170 m²,,,"Prix à consulter | Bizerte Centre Ville, Bizerte | 170m² | 2 Chambres | 2 Salles de bains"
S2 pour la vente,,,300 000 TND | Nabeul | 117m² | 3 Pièces | 2 Chambres
A vendre appartement s2 avec jardin au menzah 9,,,"480 000 TND | Les Jardins d'El Menzah 2, Ariana | 120m² | 3 Pièces | 2 Chambres"
À vendre un appartement S4 Ain Zaghouen,,,"375 000 TND | Ain Zaghouan Nord, La Marsa | 146m² | 5 Pièces | 4 Chambres"
À Vendre un apppartement S3 à Laaouina DownTown,,,"370 000 TND | El Aouina, Tunis | 129m² | 4 Pièces | 3 Chambres"
A vendre un appartement s2 au jardin de carthage,,,"630 000 TND | Les Jardins de Carthage, La Marsa | 180m² | 3 Pièces | 2 Chambres"
À VENDRE Penthouse S4 à sousse route touristique,,,"Prix à consulter | Zaouiet, Sousse Ville | 290m² | 4 Pièces | 4 Chambres"
Luxueux Appartement à vendre à Sahloul 1,,,420 000 TND | Sousse Jaouhara | 100m² | 2 Pièces | 2 Chambres
Appartement S3 à vendre à sahloul,,,280 000 TND | Sousse Jaouhara | 123m² | 3 Pièces | 3 Chambres
Un bureau très haut standing à usage professionnel,,,"Prix à consulter | Zaouiet, Sousse Ville | 250m² | 2 Pièces | 2 Chambres"
Appartement S2 à vendre à khzema Est,,,"340 000 TND | Khezama Est, Sousse | 90m² | 2 Pièces | 2 Chambres"
"À Vendre appartement S2 à Jaafer, Ariana",,,"150 000 TND | Jaafar, Raoued | 72m² | 3 Pièces | 2 Chambres"
A vendre appartement S2 au Rdc à baryem etounssi,,,"265 000 TND | Le Bardo, Le Bardo | 90m² | 3 Pièces | 1 Ch."
À VENDRE – Appartement S3 Luxe à Cité Gazelle,,,"550 000 TND | Cité el Ghazela, Raoued | 170m² | 4 Pièces | 3 Chambres"
"A Vendre appartement en S2,1er étage Le Bardo",,,"250 000 TND | Le Bardo, Le Bardo | Baisse du prix20 000 TND | 110m² | 3 Pièces"
Appartement à l'achat. Superficie 220 m²,,,"Prix à consulter | Bizerte Centre Ville, Bizerte | 220m² | 3 Chambres | 2 Salles de bains"
Vente d'un bel appartement à Chotrana avec jardin,,,"475 000 TND | Chotrana 2, La Soukra | 198m² | 2 Chambres | 2 Salles de bains"
"À vendre – s2 très haut standing, nouvelle soukra ️ direct p...",,,"353 000 TND | El Aouina, Tunis | 86m² | 2 Chambres | 1 Salle de bain"
Nouveaux Appartements S1 & S2 – Vente Directe Promoteur ️,,,"248 000 TND | El Aouina, Tunis | 68m² | 1 Ch. | 1 Salle de bain"
A vendre s1 s2 direct promoteur nouvelle soukra,,,"247 000 TND | El Aouina, Tunis | 63m² | 1 Ch. | 1 Salle de bain"
Penthouse de luxe Jardins de Carthage 307m² D1 3,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 307m² | 5 Pièces | 4 Chambres"
Superbe S2 de 105m² à vendre,,,"358 564 TND | Bhar Lazreg, La Marsa | 105m² | 3 Pièces | 2 Chambres"
S1 moderne aux Jardins de Monastir,,,"267 000 TND | Cité El Agba, Monastir | 54m² | 2 Pièces | 1 Ch."
S1 en vente,400 000 TND,,"400 000 TND | Les Jardins de Carthage, La Marsa | 67m² | 2 Pièces | 1 Ch."
Duplex en vente,,,"630 000 TND | Les Jardins de Carthage, La Marsa | 146m² | 4 Pièces | 3 Chambres"
Duplex en vente,,,"820 000 TND | Ain Zaghouan Sud, La Marsa | 200m² | 4 Pièces | 3 Chambres"
S2 en vente,,,"460 000 TND | Les Jardins de Carthage, La Marsa | 100m² | 3 Pièces | 2 Chambres"
Résidence Omrane 16- Élégance à Riadh El Ghazela,À partir de 369 000 TND,,"À partir de 369 000 TND | À partir de | IMMOBILIER NEUF | Cité el Ghazela, Raoued | Haut standing"
S2 en vente,,,"595 000 TND | Les Jardins de Carthage, La Marsa | 100m² | 3 Pièces | 2 Chambres"
Prix promotionnel jusqu'au 31 Août 2026,,,"500 000 TND | La Soukra Ville, La Soukra | 122m² | 3 Pièces | 2 Chambres"
Vend appartement à Les Jardins d'El Menzah 1. Surface totale...,,,"Prix à consulter | Les Jardins d'El Menzah 1, Ariana | 140m² | 3 Chambres | 1 Salle de bain"
Vente d'un bel appartement à Borj Louzir. Surface de 117 m²,,,"263 000 TND | Borj Louzir, La Soukra | 117m² | 4 Pièces | 3 Chambres"
Superbe appartement à vendre. Superficie 106 m²,,,"Prix à consulter | Bizerte Centre Ville, Bizerte | 106m² | 2 Chambres | 2 Salles de bains"
Bel appartement à vendre à Les Berges Du Lac 1. Surface de 8...,,,"Prix à consulter | La Perle du Lac 1, Tunis | 83m² | 2 Pièces | 1 Ch."
Un duplex avec une vue panoramique,,,"1 350 000 TND | Les Jardins de Carthage, La Marsa | 224m² | 5 Pièces | 4 Chambres"
À Vendre – un s2 à panorama,,,"295 000 TND | Corniche, Sousse | 80m² | 3 Pièces | 2 Chambres"
A vendre un appartement s2 boumhal basssatine,,,275 000 TND | Bou Mhel Bassatine | 82m² | 3 Pièces | 2 Chambres
A vendre s2 a boumhal bassatine,,,245 000 TND | Bou Mhel Bassatine | 95m² | 3 Pièces | 2 Chambres
Appartement S3 avec piscine à vendre au Lac 2,,,"Prix à consulter | Les Berges Du Lac 2, Tunis | 320m² | 3 Chambres | Terrasse"
À Vendre – Appartement S4 à l'aouina,,,"Prix à consulter | El Aouina, Tunis | 180m² | 5 Pièces | 4 Chambres"
A vendre un s2 de haut standing à chotrana 1,,,"478 000 TND | Chotrana 1, La Soukra | 126m² | 3 Pièces | 2 Chambres"
S2 à VENDRE à La Mannouba,,,"235 000 TND | Denden, La Manouba | 121m² | 3 Pièces | 2 Chambres"
Appartement tout près de la plage à vendre. Surface de 85 m²...,,,300 000 TND | Chott Meriem | 85m² | 2 Chambres | 1 Salle de bain
S2 en vente,,,270 000 TND | Nabeul | Baisse du prix25 000 TND | 100m² | 3 Pièces
"À vendre – s1 haut standing, cité wahat",,,"Prix à consulter | El Aouina, Tunis | 64m² | 1 Ch. | 1 Salle de bain"
Coup de cœur à la nouvelle soukra – s1 avec terrasse & exce...,,,"Prix à consulter | El Aouina, Tunis | 57m² | 1 Ch. | 1 Salle de bain"
Appartement en vente à Rades A 4 7,,,"Prix à consulter | Radès, Rades | 118m² | 3 Pièces | 2 Chambres"
S1 de 62m² à Sidi Mahersi Nabeul,,,"335 499 TND | Sidi El Mahrsi, Nabeul | 62m² | 2 Pièces | 1 Ch."
A louer: Appartement vide en S2 de 120m²,,,"Prix à consulter | Hammamet, Hammamet | 120m² | 3 Pièces | 2 Chambres"
Vente ennasr2 d'un penthouse en duplex haut standi,,,"600 000 TND | Cité Ennasr 2, Ariana | 212m² | 4 Pièces | 3 Chambres"
A Vendre S2 aux Jardins de Carthage,Prix à consulter,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 104m² | 3 Pièces | 2 Chambres"
À VENDRE –Appartement S2 – Hannibal 3. D. 1,,,"850 000 TND | Gammarth Supérieur, La Marsa | 134m² | 3 Pièces | Terrasse"
A vendre S3 avec Terrasse à El Menzah 9,,,"686 000 TND | El Menzah 9, Tunis | 152m² | 4 Pièces | 3 Chambres"
