title,price,location,details
Vend appartement à Sidi Hassine,,,"133 252 TND | Sidi Hassine, Tunis | 82m² | 3 Pièces | Jardin"
Superbe Penthouse aux Jardins de Carthage. Superficie de 312...,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 312m² | 4 Pièces | 3 Chambres"
Vend appartement,,,"Prix à consulter | Route Lafrane, Sfax | 148m² | 4 Pièces | 3 Chambres"
Appartements haut standing à cité Ksiba Kelibia,,,155 000 TND | Kélibia | 80m² | 2 Pièces | 2 Chambres
À vendre appartement S2 neuf à Gammarth Forêt,,,"345 000 TND | Gammarth Village, La Marsa | 115m² | 3 Pièces | 2 Chambres"
A vendre un appartement S2 à Hammamet,Prix à consulter,,"Prix à consulter | Hammamet Nord, Hammamet | 194m² | 5 Pièces | 2 Chambres"
Appartement S2 Au Centre Ville De Tunis,,,"130 000 TND | Tunis Ville, Tunis | 65m² | 3 Pièces | 2 Chambres"
À vendre – Appartement S2 avec vue mer a Ezzahra,,,300 000 TND | Kélibia | 111m² | 3 Pièces | 2 Chambres
À vendre Appartement S2 meublé a kélibia,,,240 000 TND | Kélibia | 100m² | 3 Pièces | 2 Chambres
À Vendre Appartement S3 jamais habité,,,290 000 TND | Kélibia | 156m² | 4 Pièces | 3 Chambres
A vendre S3 au Rez De Chaussée à Chotran I,,,"770 000 TND | Chotrana 1, La Soukra | 158m² | 4 Pièces | 3 Chambres"
A Vendre S2 THS à Chotrana 1,,,"455 000 TND | Chotrana 1, La Soukra | 125m² | 3 Pièces | 2 Chambres"
A vendre S2 la soukra,,,"420 000 TND | Chotrana 1, La Soukra | 85m² | 3 Pièces | 2 Chambres"
A vendre un appartement S2 l'Aouina – Cité Wahat,,,"310 000 TND | El Aouina, Tunis | 100m² | 3 Pièces | 2 Chambres"
Appartement à l'achat. 2 chambres,,,"Prix à consulter | Bizerte Centre Ville, Bizerte | 132m² | 2 Chambres | 2 Salles de bains"
Appartement s4 à vendre,,,"380 000 TND | Khezama Est, Sousse | 200m² | 5 Pièces | 4 Chambres"
Duplex en vente,,,"372 000 TND | Khezama Est, Sousse | 140m² | 3 Pièces | 2 Chambres"
Appartement s1 à vendre,,,"130 000 TND | Khezama Est, Sousse | 50m² | 2 Pièces | 1 Ch."
A vendre appartement s2 sur plan,,,"408 000 TND | Khezama Est, Sousse | 90m² | 3 Pièces | 2 Chambres"
S2 haut standing de 108 m,,,"650 000 TND | Les Jardins de Carthage, La Marsa | 108m² | 3 Pièces | 2 Chambres"
S2 en vente,400 000 TND,,"400 000 TND | Skanes, Monastir | 84m² | 2 Pièces | 2 Chambres"
S2 en vente,,,"290 000 TND | Skanes, Monastir | 79m² | 2 Pièces | 2 Chambres"
"A vendre un appartement, direct promoteur, en s2 au RDC à Me...",,,"480 000 TND | El Menzah 9, Tunis | 120m² | 3 Pièces | 2 Chambres"
Appartement à vendre,,,430 000 TND | Hammamet | 138m² | 1 Pièce | 2 Chambres
S2 de 123 m² à Jinene Soukra 1 Chotrana 3,,,"Prix à consulter | Chotrana 3, La Soukra | 123m² | 3 Pièces | 2 Chambres"
Appartement S3 de 132 m² à Ben Arous,,,220 000 TND | Ben Arous | 132m² | 3 Pièces | 3 Chambres
Résidence Floria - Cité el Ghazela,À partir de 339 000 TND,,"À partir de 339 000 TND | À partir de | IMMOBILIER NEUF | Cité el Ghazela, Raoued | Haut standing"
Bel appartement à vendre Surface totale 133 m² au 4eme étage,,,"480 000 TND | Sahloul, Sousse | 133m² | 3 Pièces | 2 Chambres"
À VENDRE –Appartement S2 – Hannibal 1. F,,,"880 000 TND | Gammarth Supérieur, La Marsa | 172m² | 3 Pièces | Terrasse"
Appartement A03 – S1 – Résidence MAYA à Kairouan,,,167 875 TND | Kairouan Ville | 62m² | 2 Pièces | 1 Ch.
Penthouse d'exception aux Jardins de Carthage. 277m² D1 4,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 277m² | 4 Pièces | 3 Chambres"
Appartement à l'achat à Route Lafrane,,,"Prix à consulter | Route Lafrane, Sfax | 148m² | 4 Pièces | 3 Chambres"
Magnifique S2 en RDC avec jardin et piscine privative,,,"Prix à consulter | La Soukra Ville, La Soukra | 123m² | 3 Pièces | 2 Chambres"
Luxueux appartement à vendre à route touristique,,,"850 000 TND | Khezama Est, Sousse | 180m² | 2 Pièces | 2 Chambres"
Superbe Studio à vendre à Bouhsina,,,200 000 TND | Sousse | 65m² | 1 Ch. | Garage
Appartement s1 luxe à vendre ou à loué sousse,,,"400 000 TND | Corniche, Sousse | 66m² | 2 Pièces | 1 Ch."
À vendre – Appartement S1 à Kantaoui sousse,,,"204 000 TND | El Kantaoui, Hammam Sousse | 52m² | 1 Pièce | 1 Ch."
Magnifique Penthouse à vendre a sousse,,,"Prix à consulter | Zaouiet, Sousse Ville | 250m² | 3 Pièces | 3 Chambres"
À VENDRE – Appartement S4 à Khezama Est,,,"485 000 TND | Zaouiet, Sousse Ville | 4 Pièces | 4 Chambres | 2 Salles de bains"
Appartement s2 vue de mer à vendre sousse,580 000 TND,,"580 000 TND | El Kantaoui, Hammam Sousse | 2 Pièces | 2 Chambres | 1 Salle de bain"
Appartement sur la zone touristique à vendre,,,"300 000 TND | Zaouiet, Sousse Ville | 92m² | 2 Pièces | 2 Chambres"
Superbe S2 à la Nouvelle Soukra,,,"340 000 TND | El Aouina, Tunis | 115m² | 3 Pièces | 2 Chambres"
Appartement s3 haut standing à vendre à Nkhilette,,,"388 500 TND | Raoued Centre, Raoued | 185m² | 3 Pièces | 3 Chambres"
S3 a vendre,,,"575 000 TND | Khezama Est, Sousse | 161m² | 4 Pièces | 3 Chambres"
À vendre Appartement S2 Haute Standing,,,"365 000 TND | Kairouan Ville, Kairouan Ville | 182m² | 2 Pièces | 2 Chambres"
A vendre S1 Proche Bel AZUR Hammamet AH100:,,,"270 000 TND | Hammamet, Hammamet | 60m² | 2 Pièces | 1 Ch."
S3 à vendre neuf les jardins de Carthage,,,"760 000 TND | Les Jardins de Carthage, La Marsa | 139m² | 4 Pièces | 3 Chambres"
"À vendre s2 les jardins de Carthage 166,5 m2",,,"610 000 TND | Les Jardins de Carthage, La Marsa | 166m² | 3 Pièces | 2 Chambres"
S1 au Jardin de lAouina au 1étage,,,"Prix à consulter | Cité Taieb Mhiri, Menzel Chaker | 73m² | 1 Ch. | 1 Salle de bain"
S3 neuf avec Jardin à la Marsa,,,"Prix à consulter | La Marsa Ville, La Marsa | 148m² | 3 Pièces | 3 Chambres"
Appartement AR1–S3–RDC–Bloc A,,,"456 000 TND | Ariana Essoghra, Raoued | 142m² | 4 Pièces | 3 Chambres"
Appartement A2 2 – S3 – 2ème étage – Bloc A,,,"452 000 TND | Ariana Essoghra, Raoued | 141m² | 4 Pièces | 3 Chambres"
S2 haut standing de 123 m,,,"735 000 TND | Les Jardins de Carthage, La Marsa | 123m² | 3 Pièces | 2 Chambres"
S2 Direct Promoteur à Jinene Soukra 1 Chotrana 3,,,"Prix à consulter | Chotrana 3, La Soukra | 111m² | 3 Pièces | Ascenseur"
Appartement S2 de 100m² à La Nouvelle Médina,,,240 000 TND | Nouvelle Medina | 116m² | 3 Pièces | 2 Chambres
Appartement s2 de 85 m² à la Nouvelle Medina,,,168 000 TND | Nouvelle Medina | 85m² | 3 Pièces | 2 Chambres
Appartement S4 de 127m² à La Ennacer2,,,"330 000 TND | Cité Ennasr 2, Ariana | 127m² | 4 Pièces | 4 Chambres"
Appartement S1 à vendre à Sahloul 4,,,"255 000 TND | Sahloul, Sousse | 71m² | 1 Pièce | 1 Ch."
Appartement s1 à vendre,,,"240 000 TND | Khezama Est, Sousse | 76m² | 2 Pièces | 1 Ch."
JINENE SOUKRA 1: Luxe et Confort à Chotrana 3,À partir de 390 000 TND,,"À partir de 390 000 TND | À partir de | IMMOBILIER NEUF | Chotrana 3, La Soukra | Haut standing"
Appartement s1 à vendre,,,"185 000 TND | Khezama Est, Sousse | 40m² | 2 Pièces | 1 Ch."
À VENDRE –Appartement S2 – Hannibal 7. C. 1,,,"1 005 000 TND | Gammarth Supérieur, La Marsa | 156m² | 3 Pièces | Terrasse"
Appartement A13 – Résidence MAYA à Kairouan,,,188 634 TND | Kairouan Ville | 80m² | 3 Pièces | 2 Chambres
S2 d'Exception aux jardins de Carthage A1 9,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 124m² | 3 Pièces | 2 Chambres"
Vente d'un bel appartement à Route Lafrane,,,"Prix à consulter | Route Lafrane, Sfax | 89m² | 3 Pièces | 2 Chambres"
S1 de 80 m2 avec terrasse et jardin de 26m2,,,"375 000 TND | La Soukra Ville, La Soukra | 80m² | 2 Pièces | 1 Ch."
Un S 2 à Cite Wahat,,,"230 000 TND | Ain Zaghouan Nord, La Marsa | 85m² | 3 Pièces | 2 Chambres"
Appartement S3 vide aux berges du lac2,,,"750 000 TND | Les Berges Du Lac 2, Tunis | 158m² | 3 Chambres | Terrasse"
Duplex S4 à louer aux berges du lac2,10 000 TND,,10 000 TND | La Marsa | 400m² | 4 Chambres | Terrasse
S3 neuf à vendre aux berges du Lac 2,,,"1 100 000 TND | Les Berges Du Lac 2, Tunis | 193m² | 3 Chambres | Garage"
A vendre un S1 a Yasmine Hammamet,,,"200 000 TND | Yasmine Hammamet, Hammamet | 52m² | 2 Pièces | 1 Ch."
Appartement S1 à vendre aux berges du lac2,,,"420 000 TND | Les Berges Du Lac 2, Tunis | 80m² | 1 Ch. | Terrasse"
Duplex à vendre au Lac 2,,,"1 300 000 TND | Les Berges Du Lac 2, Tunis | 208m² | 3 Chambres | Terrasse"
À vendre bel appartement au RDC à cite hedi nouira Ariana,,,"258 000 TND | Ariana Centre, Ariana | 128m² | 2 Chambres | 1 Salle de bain"
Magnifique penthouse moderne avec piscine au Lac 2,,,"1 900 000 TND | Les Berges Du Lac 2, Tunis | 4 Pièces | 3 Chambres | 3 Salles de bains"
Vente d'un bel appart Jardins de Carthage Promoteu,,,990 000 TND | Carthage | 200m² | 5 Pièces | 4 Chambres
Fonctionnel S2 aux jardins de Carthage 104m² B2 1,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 104m² | 3 Pièces | 2 Chambres"
Appartement A44 – Résidence MAYA à Kairouan,,,"207 928 TND | Kairouan Ville, Kairouan Ville | 88m² | 3 Pièces | 2 Chambres"
Un joli S2 de 106.4 m² avec une belle terrasse de 44m²,,,"475 000 TND | El Aouina, Tunis | 106m² | 3 Pièces | 2 Chambres"
Prestigieux Penthouse aux Jardins de Carthage. Surface de 26...,,,"Prix à consulter | Les Jardins de Carthage, La Marsa | 263m² | 4 Pièces | 3 Chambres"
Appartement S3 de 125m² à l'achat à El Menzah 9,,,"552 000 TND | El Menzah 9, Tunis | 125m² | 4 Pièces | 3 Chambres"
Appartement A4 2 – S3 – 4ème étage – Bloc A,,,"452 000 TND | Ariana Essoghra, Raoued | 141m² | 4 Pièces | 3 Chambres"
"Apparemment rénové S4, Ain Zaghouen",,,"395 000 TND | Ain Zaghouan Nord, La Marsa | 170m² | 5 Pièces | 4 Chambres"
Vente d'un bel appartement à Carthage. 2 chambres agréables...,,,"570 000 TND | Carthage, Carthage | 114m² | 3 Pièces | 2 Chambres"
